CDO_jnj_global_prod - d4614a6f-c912-456a-89a6-dd3250a6ee0e,Processing Time UTC,Time Interval,Event Count,dummy
s291,2025-08-25 08:23,0.00s,181204,s291
s292,2025-08-25 08:23,0.00s,184278,s292
s293,2025-08-25 08:23,5.00s,176084,s293
s294,2025-08-25 08:23,5.00s,177799,s294
s295,2025-08-25 08:22,12.00s,22861,s295
s296,2025-08-25 08:22,0.00s,192293,s296
s297,2025-08-25 08:22,3.00s,186091,s297
s298,2025-08-25 08:22,1.00s,188409,s298
s299,2025-08-25 08:22,0.00s,184623,s299
s300,2025-08-25 08:22,0.00s,192641,s300
s301,2025-08-25 08:22,0.00s,188355,s301
s302,2025-08-25 08:22,0.00s,185263,s302
s303,2025-08-25 08:22,11.00s,79440,s303
s304,2025-08-25 08:22,1.00s,81353,s304
s305,2025-08-25 08:22,2.00s,77902,s305
s306,2025-08-25 08:22,0.00s,82801,s306
s307,2025-08-25 08:22,0.00s,80320,s307
s308,2025-08-25 08:22,1.00s,82112,s308
s309,2025-08-25 08:22,0.00s,49795,s309
s310,2025-08-25 08:22,11.00s,79618,s310
s311,2025-08-25 08:22,1.00s,166778,s311
s312,2025-08-25 08:22,2.00s,119792,s312
s313,2025-08-25 08:22,0.00s,181111,s313
s314,2025-08-25 08:22,0.00s,190360,s314
s315,2025-08-25 08:22,0.00s,187006,s315
s316,2025-08-25 08:22,0.00s,189026,s316
s317,2025-08-25 08:22,0.00s,184750,s317
s318,2025-08-25 08:22,14.00s,177574,s318
s319,2025-08-25 08:22,1.00s,176265,s319
s320,2025-08-25 08:21,13.00s,19293,s320
s321,2025-08-25 08:21,2.00s,58315,s321
s322,2025-08-25 08:21,0.00s,192595,s322
s323,2025-08-25 08:21,0.00s,192451,s323
s324,2025-08-25 08:21,0.00s,182021,s324
s325,2025-08-25 08:21,0.00s,185650,s325
s326,2025-08-25 08:21,0.00s,190184,s326
s327,2025-08-25 08:21,1.00s,198127,s327
s328,2025-08-25 08:21,0.00s,79576,s328
s329,2025-08-25 08:21,4.00s,191150,s329
s330,2025-08-25 08:21,0.00s,82289,s330
s331,2025-08-25 08:21,0.00s,78527,s331
s332,2025-08-25 08:21,0.00s,79588,s332
s333,2025-08-25 08:21,1.00s,80753,s333
s334,2025-08-25 08:21,0.00s,78051,s334
s335,2025-08-25 08:21,25.00s,69019,s335
s336,2025-08-25 08:21,0.00s,178274,s336
s337,2025-08-25 08:21,0.00s,182337,s337
s338,2025-08-25 08:21,0.00s,176885,s338
s339,2025-08-25 08:21,0.00s,161195,s339
s340,2025-08-25 08:21,1.00s,158924,s340
s341,2025-08-25 08:21,0.00s,167262,s341
s342,2025-08-25 08:21,0.00s,171697,s342
s343,2025-08-25 08:21,6.00s,87778,s343
s344,2025-08-25 08:21,2.00s,170757,s344
s345,2025-08-25 08:21,14.00s,21381,s345
s346,2025-08-25 08:20,3.00s,59271,s346
s347,2025-08-25 08:20,0.00s,181457,s347
s348,2025-08-25 08:20,0.00s,196267,s348
s349,2025-08-25 08:20,0.00s,215253,s349
s350,2025-08-25 08:20,0.00s,188581,s350
s351,2025-08-25 08:20,0.00s,195364,s351
s352,2025-08-25 08:20,0.00s,188837,s352
s353,2025-08-25 08:20,16.00s,190416,s353
s354,2025-08-25 08:20,3.00s,78490,s354
s355,2025-08-25 08:20,0.00s,79856,s355
s356,2025-08-25 08:20,0.00s,80339,s356
s357,2025-08-25 08:20,0.00s,79946,s357
s358,2025-08-25 08:20,0.00s,78632,s358
s359,2025-08-25 08:20,1.00s,82024,s359
s360,2025-08-25 08:20,8.00s,50514,s360
s361,2025-08-25 08:20,1.00s,216770,s361
s362,2025-08-25 08:20,0.00s,173013,s362
s363,2025-08-25 08:20,0.00s,170561,s363
s364,2025-08-25 08:20,0.00s,167078,s364
s365,2025-08-25 08:20,0.00s,194763,s365
s366,2025-08-25 08:20,0.00s,161114,s366
s367,2025-08-25 08:20,0.00s,177597,s367
s368,2025-08-25 08:20,17.00s,179187,s368
s369,2025-08-25 08:20,0.00s,1,s369
s370,2025-08-25 08:20,0.00s,3,s370
s371,2025-08-25 08:20,1.00s,3,s371
s372,2025-08-25 08:20,0.00s,1,s372
s373,2025-08-25 08:20,0.00s,1,s373
s374,2025-08-25 08:20,0.00s,73,s374
s375,2025-08-25 08:20,0.00s,2,s375
s376,2025-08-25 08:20,0.00s,3,s376
s377,2025-08-25 08:20,0.00s,4,s377
s378,2025-08-25 08:20,0.00s,1,s378
s379,2025-08-25 08:20,0.00s,2,s379
s380,2025-08-25 08:20,0.00s,1,s380
s381,2025-08-25 08:20,0.00s,11,s381
s382,2025-08-25 08:20,0.00s,1,s382
s383,2025-08-25 08:20,0.00s,2,s383
s384,2025-08-25 08:20,0.00s,2,s384
s385,2025-08-25 08:20,0.00s,1,s385
s386,2025-08-25 08:20,0.00s,1,s386
s387,2025-08-25 08:20,0.00s,1,s387
s388,2025-08-25 08:20,0.00s,4,s388
s389,2025-08-25 08:20,0.00s,3,s389
s390,2025-08-25 08:20,0.00s,4,s390
s391,2025-08-25 08:20,0.00s,1,s391
s392,2025-08-25 08:20,0.00s,3,s392
s393,2025-08-25 08:20,0.00s,1,s393
s394,2025-08-25 08:20,0.00s,4,s394
s395,2025-08-25 08:20,0.00s,12,s395
s396,2025-08-25 08:20,0.00s,3,s396
s397,2025-08-25 08:20,0.00s,16,s397
s398,2025-08-25 08:20,0.00s,4,s398
s399,2025-08-25 08:20,0.00s,1,s399
s400,2025-08-25 08:20,0.00s,7,s400
s401,2025-08-25 08:20,0.00s,3,s401
s402,2025-08-25 08:20,0.00s,2,s402
s403,2025-08-25 08:20,0.00s,6,s403
s404,2025-08-25 08:20,0.00s,21,s404
s405,2025-08-25 08:20,0.00s,996,s405
s406,2025-08-25 08:20,0.00s,21,s406
s407,2025-08-25 08:20,0.00s,21,s407
s408,2025-08-25 08:20,0.00s,26,s408
s409,2025-08-25 08:20,0.00s,1685,s409
s410,2025-08-25 08:20,0.00s,461,s410
s411,2025-08-25 08:20,1.00s,282,s411
s412,2025-08-25 08:19,1.00s,1,s412
s413,2025-08-25 08:19,0.00s,1,s413
s414,2025-08-25 08:19,0.00s,1,s414
s415,2025-08-25 08:19,0.00s,1,s415
s416,2025-08-25 08:19,0.00s,1,s416
s417,2025-08-25 08:19,0.00s,1,s417
s418,2025-08-25 08:19,0.00s,2,s418
s419,2025-08-25 08:19,0.00s,2,s419
s420,2025-08-25 08:19,0.00s,11,s420
s421,2025-08-25 08:19,0.00s,16,s421
s422,2025-08-25 08:19,1.00s,178281,s422
s423,2025-08-25 08:19,0.00s,1,s423
s424,2025-08-25 08:19,0.00s,1,s424
s425,2025-08-25 08:19,0.00s,2,s425
s426,2025-08-25 08:19,0.00s,2,s426
s427,2025-08-25 08:19,0.00s,2,s427
s428,2025-08-25 08:19,0.00s,2,s428
s429,2025-08-25 08:19,0.00s,1,s429
s430,2025-08-25 08:19,0.00s,1,s430
s431,2025-08-25 08:19,0.00s,2,s431
s432,2025-08-25 08:19,0.00s,2,s432
s433,2025-08-25 08:19,0.00s,7,s433
s434,2025-08-25 08:19,0.00s,1433,s434
s435,2025-08-25 08:19,3.00s,179408,s435
s436,2025-08-25 08:19,0.00s,170496,s436
s437,2025-08-25 08:19,0.00s,179367,s437
s438,2025-08-25 08:19,0.00s,188899,s438
s439,2025-08-25 08:19,1.00s,183436,s439
s440,2025-08-25 08:19,0.00s,188937,s440
s441,2025-08-25 08:19,0.00s,84284,s441
s442,2025-08-25 08:19,1.00s,182086,s442
s443,2025-08-25 08:19,12.00s,80301,s443
s444,2025-08-25 08:19,2.00s,171322,s444
s445,2025-08-25 08:19,0.00s,79061,s445
s446,2025-08-25 08:19,0.00s,81968,s446
s447,2025-08-25 08:19,0.00s,77157,s447
s448,2025-08-25 08:19,0.00s,82734,s448
s449,2025-08-25 08:19,0.00s,78691,s449
s450,2025-08-25 08:19,0.00s,193324,s450
s451,2025-08-25 08:19,1.00s,169497,s451
s452,2025-08-25 08:19,0.00s,77827,s452
s453,2025-08-25 08:19,0.00s,180850,s453
s454,2025-08-25 08:19,0.00s,174941,s454
s455,2025-08-25 08:19,0.00s,173605,s455
s456,2025-08-25 08:19,1.00s,166482,s456
s457,2025-08-25 08:19,0.00s,72060,s457
s458,2025-08-25 08:19,39.00s,97706,s458
s459,2025-08-25 08:18,4.00s,167401,s459
s460,2025-08-25 08:18,6.00s,28589,s460
s461,2025-08-25 08:18,0.00s,190813,s461
s462,2025-08-25 08:18,0.00s,187245,s462
s463,2025-08-25 08:18,0.00s,180036,s463
s464,2025-08-25 08:18,0.00s,187397,s464
s465,2025-08-25 08:18,0.00s,183541,s465
s466,2025-08-25 08:18,0.00s,179311,s466
s467,2025-08-25 08:18,1.00s,193420,s467
s468,2025-08-25 08:18,7.00s,98762,s468
s469,2025-08-25 08:18,0.00s,79980,s469
s470,2025-08-25 08:18,3.00s,80299,s470
s471,2025-08-25 08:18,0.00s,93509,s471
s472,2025-08-25 08:18,0.00s,77998,s472
s473,2025-08-25 08:18,0.00s,80029,s473
s474,2025-08-25 08:18,0.00s,99498,s474
s475,2025-08-25 08:18,2.00s,80566,s475
s476,2025-08-25 08:18,6.00s,4605,s476
s477,2025-08-25 08:18,1.00s,186837,s477
s478,2025-08-25 08:18,0.00s,159148,s478
s479,2025-08-25 08:18,0.00s,177410,s479
s480,2025-08-25 08:18,0.00s,159008,s480
s481,2025-08-25 08:18,0.00s,183948,s481
